x1,x2,x3,x4,indicator
0.138,-0.168,-0.289,0.193,1
0.255,-0.029,0.134,-0.163,1
0.044,0.003,0.048,-0.017,0
-0.030,0.003,-0.050,0.028,0
0.001,0.019,0.016,0.023,0
-0.009,0.008,-0.008,0.018,0
0.023,-0.004,-0.026,0.027,0
0.020,-0.034,0.030,-0.033,0
0.003,0.006,0.006,0.032,0
-0.436,0.319,0.110,-0.215,1
0.026,-0.012,0.029,-0.006,0
-0.009,0.008,-0.008,0.018,0
0.026,-0.012,0.029,-0.006,0
0.161,-0.091,0.2906,-0.226,1
-0.002,-0.009,0.001,0.019,0
0.066,-0.076,0.078,0.138,1
-0.103,0.191,-0.161,0.084,1
0.614,-0.634,-0.437,0.084,1
0.502,-0.525,-0.098,0.274,1
0.006,0.026,-0.013,0.052,0
0.049,-0.169,-0.180,0.071,1
0.133,0.097,0.293,-0.072,1
0.160,0.011,0.168,0.112,1
0.152,-0.089,-0.342,0.111,1
0.153,-0.250,0.051,-0.056,1
0.030,-0.038,0.026,-0.035,0
0.003,0.006,0.006,0.032,0
0.042,0.033,0.082,-0.031,0
0.095,0.341,-0.102,0.111,1
0.001,0.019,0.016,0.023,0
0.009,0.020,-0.034,0.049,0
0.025,0.020,0.015,0.003,0
0.041,-0.000,-0.032,0.069,0
0.027,0.004,-0.007,-0.017,0
0.184,0.107,0.097,0.241,1
0.222,0.098,0.109,0.055,1
0.166,0.127,-0.073,0.098,1
-0.030,0.003,-0.050,0.028,0
0.022,0.012,-0.003,-0.057,0
-0.031,0.002,-0.021,0.029,0
-0.018,0.056,-0.034,-0.012,0
0.023,-0.044,-0.045,0.020,0
-0.107,-0.031,-0.003,0.185,1
0.211,-0.060,-0.053,0.105,1
0.210,-0.274,-0.177,-0.086,1
-0.245,0.135,-0.135,-0.046,1
0.141,-0.174,-0.068,-0.038,1
0.034,-0.173,0.480,-0.280,1
0.157,-0.317,0.373,-0.373,1
-0.026,-0.113,-0.246,0.253,1
-0.058,0.114,0.040,0.017,1
-0.010,0.026,0.008,0.013,0
0.033,-0.011,0.002,0.021,0
0.005,0.016,-0.007,0.000,0
-0.004,-0.071,-0.005,0.042,0
0.063,0.005,-0.021,-0.021,0
0.418,-0.178,-0.302,0.856,1
0.045,0.015,0.117,0.010,0
-0.076,-0.013,-0.148,0.070,1
0.011,0.054,-0.012,0.061,0
0.302,0.029,0.588,-0.245,1
0.013,0.051,0.035,-0.009,0
0.020,-0.034,0.030,-0.033,0
0.044,-0.002,0.069,-0.023,0
0.024,0.016,0.046,0.003,0
0.382,0.097,0.368,0.133,1
-0.044,-0.062,0.171,0.240,1
-0.015,0.018,-0.014,0.036,0
0.146,0.185,0.165,-0.009,1
-0.018,0.056,-0.034,-0.012,0
0.040,0.026,-0.007,0.032,1
-0.253,0.042,-0.138,-0.010,1
